ID,order,heading,maintext,image,backvalue,nextvalue,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (",""")",", ",""",",""", """,", """
12,118,Meditate,Sit and take the time to meditate for at least 30 minutes every day. This is probably all you'd need to do really it's so powerful. Nothing scarier than being alone with your own thoughts but no better way to work through them too.,NULL,117,119,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (118, ""Meditate"", ""Sit and take the time to meditate for at least 30 minutes every day. This is probably all you'd need to do really it's so powerful. Nothing scarier than being alone with your own thoughts but no better way to work through them too."", ""NULL"", ""117"", ""119"")",,,,,
13,119,You're happy now with luck.,"Seriously though happiness is a series of choices made daily. Exercise, eat well, meditate, see friends, a new lover and family. A few final quick cheats though - see a funny movie and eat something spicy (apparently they cheer up the whiny-est of bitches).",smile.png,118,1,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (119, ""You're happy now with luck."", ""Seriously though happiness is a series of choices made daily. Exercise, eat well, meditate, see friends, a new lover and family. A few final quick cheats though - see a funny movie and eat something spicy (apparently they cheer up the whiny-est of bitches)."", ""smile.png"", ""118"", ""1"")",,,,,
14,121,Memorium,Write out your memories of the person. Try to focus on the good times. Aim for a page of good things to say about them. It's carthartic and useful for the eulogy,NULL,120,122,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (121, ""Memorium"", ""Write out your memories of the person. Try to focus on the good times. Aim for a page of good things to say about them. It's carthartic and useful for the eulogy"", ""NULL"", ""120"", ""122"")",,,,,
15,120,Lost someone?,Shit I'm sorry! Cry. Be sad. Dive into all you have lost and mourn. The only way out is down in this instance.,Loss.png,NULL,121,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (120, ""Lost someone?"", ""Shit I'm sorry! Cry. Be sad. Dive into all you have lost and mourn. The only way out is down in this instance."", ""Loss.png"", ""NULL"", ""121"")",,,,,
16,122,Music makes everything better,Make a playlist of your favourite songs (*cough* no sad songs unless you are a real sucker for punishment) and rock on. Add to exercise for bonus points.,NULL,121,123,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (122, ""Music makes everything better"", ""Make a playlist of your favourite songs (*cough* no sad songs unless you are a real sucker for punishment) and rock on. Add to exercise for bonus points."", ""NULL"", ""121"", ""123"")",,,,,
17,123,Go for a walk,Preferably walk in a natural setting (slowly knowing you). A mountain hike would be perfect. A swim at the beach is also fine. Whatever you do get out of the house and exercise.,NULL,122,124,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (123, ""Go for a walk"", ""Preferably walk in a natural setting (slowly knowing you). A mountain hike would be perfect. A swim at the beach is also fine. Whatever you do get out of the house and exercise."", ""NULL"", ""122"", ""124"")",,,,,
18,124,"Clean, shower, make bed","Do the basics. These are largely mindless tasks that let your mind wander to process. Added bonus, you will stop smelling and your place will look nice.",NULL,123,125,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (124, ""Clean, shower, make bed"", ""Do the basics. These are largely mindless tasks that let your mind wander to process. Added bonus, you will stop smelling and your place will look nice."", ""NULL"", ""123"", ""125"")",,,,,
19,125,Life Affirmation!,"No better time than when confronted with our short window in this world to do the things you've always wanted and have been putting off. Look at travel, call that friend you've lost touch with, do something out of your confort zone, go party. Avoid depressants like alcohol though.",NULL,124,126,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (125, ""Life Affirmation!"", ""No better time than when confronted with our short window in this world to do the things you've always wanted and have been putting off. Look at travel, call that friend you've lost touch with, do something out of your confort zone, go party. Avoid depressants like alcohol though."", ""NULL"", ""124"", ""126"")",,,,,
20,126,Talk it out,"If you have someone call a family member or friend and ask if they are ok talking. Start with what has happened, You aren't looking for advice, just catharsis.",NULL,125,127,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (126, ""Talk it out"", ""If you have someone call a family member or friend and ask if they are ok talking. Start with what has happened, You aren't looking for advice, just catharsis."", ""NULL"", ""125"", ""127"")",,,,,
21,127,Do the rites,If you are required do the executor tasks or organise the funeral etc. These are important for many people. Be professional and kind if acting as exector and try to compromise. Realise people won't be at their best.,NULL,126,128,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (127, ""Do the rites"", ""If you are required do the executor tasks or organise the funeral etc. These are important for many people. Be professional and kind if acting as exector and try to compromise. Realise people won't be at their best."", ""NULL"", ""126"", ""128"")",,,,,
22,128,You're happy now with luck.,Unfortunately grief can take a while to heal so give yourself time. If you're a raw wound avoid work as you might snap. Remember other people might be hurting and try to give support where you can too. Condolences.,smile.png,127,1,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (128, ""You're happy now with luck."", ""Unfortunately grief can take a while to heal so give yourself time. If you're a raw wound avoid work as you might snap. Remember other people might be hurting and try to give support where you can too. Condolences."", ""smile.png"", ""127"", ""1"")",,,,,
23,130,True depression?,This one is serious and painful but you can fight through it!,depressed.png,NULL,131,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (130, ""True depression?"", ""This one is serious and painful but you can fight through it!"", ""depressed.png"", ""NULL"", ""131"")",,,,,
24,131,Understanding,First off there is absolutely no shame in depression. It is an illness just like any other. In this case it is a chemical imbalance in your brain. Something usually triggers a downward spiral where each day your brain produces less 'happy' drugs. The good news is you can reverse the process.,NULL,130,132,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (131, ""Understanding"", ""First off there is absolutely no shame in depression. It is an illness just like any other. In this case it is a chemical imbalance in your brain. Something usually triggers a downward spiral where each day your brain produces less 'happy' drugs. The good news is you can reverse the process."", ""NULL"", ""130"", ""132"")",,,,,
25,132,Get out of bed,"Seriously get up and go to the window, walk around and take whatever device this is on somewhere sunny for preference.",NULL,131,133,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (132, ""Get out of bed"", ""Seriously get up and go to the window, walk around and take whatever device this is on somewhere sunny for preference."", ""NULL"", ""131"", ""133"")",,,,,
26,133,Shower,"Go run a shower, cold for preference but whatever works. Wash and do your normal grooming stuff.",NULL,132,134,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (133, ""Shower"", ""Go run a shower, cold for preference but whatever works. Wash and do your normal grooming stuff."", ""NULL"", ""132"", ""134"")",,,,,
27,134,Clean,"Yep, clean your space completely. Sort one part of your life you can control. Make it sparkle and maybe fix up a few things too to make it nicer.",NULL,133,135,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (134, ""Clean"", ""Yep, clean your space completely. Sort one part of your life you can control. Make it sparkle and maybe fix up a few things too to make it nicer."", ""NULL"", ""133"", ""135"")",,,,,
28,135,Music makes everything better,Make a playlist of your favourite songs (*cough* no sad songs unless you are a real sucker for punishment) and rock on. Add to exercise for bonus points.,NULL,134,136,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (135, ""Music makes everything better"", ""Make a playlist of your favourite songs (*cough* no sad songs unless you are a real sucker for punishment) and rock on. Add to exercise for bonus points."", ""NULL"", ""134"", ""136"")",,,,,
29,136,Go for a walk,Preferably walk in a natural setting. A mountain hike would be perfect. A swim a the beach is also fine. Whatever you do get out of the house and exercise.,NULL,135,137,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (136, ""Go for a walk"", ""Preferably walk in a natural setting. A mountain hike would be perfect. A swim a the beach is also fine. Whatever you do get out of the house and exercise."", ""NULL"", ""135"", ""137"")",,,,,
30,137,Chemical,"This is a chemical imbalance remember so lets fix that. Avoid depressants like alcohol - chuck them all out. Be extremely careful about taking addictive anti-depressants doctors seem to like prescribing - you'll feel nothing rather than get better and they're hard to quit. If legal in your location do some research into magic mushrooms and/or ketamine as they can fix depressive brain chemistry quickly. ",NULL,136,138,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (137, ""Chemical"", ""This is a chemical imbalance remember so lets fix that. Avoid depressants like alcohol - chuck them all out. Be extremely careful about taking addictive anti-depressants doctors seem to like prescribing - you'll feel nothing rather than get better and they're hard to quit. If legal in your location do some research into magic mushrooms and/or ketamine as they can fix depressive brain chemistry quickly. "", ""NULL"", ""136"", ""138"")",,,,,
31,138,Therapy,Again there is no shame in seeking help. Some people experience something so awful they don't have the tools to process. Talking it through with a professional can be very carthartic and they can give you techniques to cope.,NULL,137,139,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (138, ""Therapy"", ""Again there is no shame in seeking help. Some people experience something so awful they don't have the tools to process. Talking it through with a professional can be very carthartic and they can give you techniques to cope."", ""NULL"", ""137"", ""139"")",,,,,
32,139,Meditation,Sit and take the time to meditate for at least 30 minutes every day. This is probably all you'd need to do really it's so powerful. Nothing scarier than being alone with your own thoughts but no better way to work through them too.,NULL,138,140,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (139, ""Meditation"", ""Sit and take the time to meditate for at least 30 minutes every day. This is probably all you'd need to do really it's so powerful. Nothing scarier than being alone with your own thoughts but no better way to work through them too."", ""NULL"", ""138"", ""140"")",,,,,
33,140,You're happy now with luck.,Seriously though depression is a downwards slope but recovery is a slow slope too. Don't expect an instant fix (unless you look at mushrooms or ketamine). Get help if it isn't improving seriously. You got this!,smile.png,139,1,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (140, ""You're happy now with luck."", ""Seriously though depression is a downwards slope but recovery is a slow slope too. Don't expect an instant fix (unless you look at mushrooms or ketamine). Get help if it isn't improving seriously. You got this!"", ""smile.png"", ""139"", ""1"")",,,,,
34,200,Shitty (at) Family,"Nobody knows you or can press your buttons like your extended family can (I'm thinking siblings, parents, adult kids etc). There are some productive things you can do to manage the mongrels.",family.png,1,201,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (200, ""Shitty (at) Family"", ""Nobody knows you or can press your buttons like your extended family can (I'm thinking siblings, parents, adult kids etc). There are some productive things you can do to manage the mongrels."", ""family.png"", ""1"", ""201"")",,,,,
35,201,Steam outlet!,"If you're really angry first off you need to release that pressure. If you have a healthy outlet (not beating up strangers in parking lots) then use it otherwise think of the following options: meditation, hard exercise, the far more realistic for you easy exercise or talking to someone. Do not use this as an excuse to backslide into distructive behaviour.",NULL,200,202,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (201, ""Steam outlet!"", ""If you're really angry first off you need to release that pressure. If you have a healthy outlet (not beating up strangers in parking lots) then use it otherwise think of the following options: meditation, hard exercise, the far more realistic for you easy exercise or talking to someone. Do not use this as an excuse to backslide into distructive behaviour."", ""NULL"", ""200"", ""202"")",,,,,
36,202,Analyse you,"Why are you angry? I know there is a surface thing but why did it effect you, hurt you. You are responsible for your emotions, nobody else so examine what broke your control - it's your issue and choice to be angry ultimately. Also are there any chemical imbalances? Missing coffee, sleep, exercise, intimacy? Be honest about the cause here.",NULL,201,203,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (202, ""Analyse you"", ""Why are you angry? I know there is a surface thing but why did it effect you, hurt you. You are responsible for your emotions, nobody else so examine what broke your control - it's your issue and choice to be angry ultimately. Also are there any chemical imbalances? Missing coffee, sleep, exercise, intimacy? Be honest about the cause here."", ""NULL"", ""201"", ""203"")",,,,,
37,203,Analyse them,Why did they act this way? Were they displacing another action (maybe from you?). Any other mitigating factors eg she's PMSing like crazy? Do you think they can compromise? Do they have the maturity to do so?,NULL,202,204,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (203, ""Analyse them"", ""Why did they act this way? Were they displacing another action (maybe from you?). Any other mitigating factors eg she's PMSing like crazy? Do you think they can compromise? Do they have the maturity to do so?"", ""NULL"", ""202"", ""204"")",,,,,
38,204,What do you want?,"Seriously what is your best case scenario here? Write it down - it's easy to forget when angry and you just want to crush the other person or win an argument. Be practical, realistic and recognise you'll probably have to compromise.",NULL,203,205,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (204, ""What do you want?"", ""Seriously what is your best case scenario here? Write it down - it's easy to forget when angry and you just want to crush the other person or win an argument. Be practical, realistic and recognise you'll probably have to compromise."", ""NULL"", ""203"", ""205"")",,,,,
39,205,Let's talk...urgh,Only consider this if both of you are calm. If not wait till you both are. If you lose your temper when talking even a little you fail here - focus on control. Explain why you're angry (and hurt) and what you'd like to happen. Let that precious bitch moan back at you but stay on target. Bring the conversation back to a resolution and seek that compromise you were looking for. Shake/Apologise as needed.,NULL,204,206,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (205, ""Let's talk...urgh"", ""Only consider this if both of you are calm. If not wait till you both are. If you lose your temper when talking even a little you fail here - focus on control. Explain why you're angry (and hurt) and what you'd like to happen. Let that precious bitch moan back at you but stay on target. Bring the conversation back to a resolution and seek that compromise you were looking for. Shake/Apologise as needed."", ""NULL"", ""204"", ""206"")",,,,,
40,206,Still pissed/butt hurt,For the real grudge holders consider if malice was truly invovled. As a general rule thoughtlessness requires an apology but actual malice requires restitution. Accept that you might not get either depending on the craziness/maturity of the person.,NULL,205,208,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (206, ""Still pissed/butt hurt"", ""For the real grudge holders consider if malice was truly invovled. As a general rule thoughtlessness requires an apology but actual malice requires restitution. Accept that you might not get either depending on the craziness/maturity of the person."", ""NULL"", ""205"", ""208"")",,,,,
41,208,How to avoid this situation in future,Think of a few ways to avoid this and ask the other person if they have ideas too (the bastard probably has plenty but stay calm). Agree on at least one constructive thing you can both do to avoid this again - it helps you both recognise responsibility and the issue.,NULL,206,209,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (208, ""How to avoid this situation in future"", ""Think of a few ways to avoid this and ask the other person if they have ideas too (the bastard probably has plenty but stay calm). Agree on at least one constructive thing you can both do to avoid this again - it helps you both recognise responsibility and the issue."", ""NULL"", ""206"", ""209"")",,,,,
42,209,Hug the shit,"They're family and as much as they are a pain in the ass the families that can work together are way more functional so put in the effort to make it work....even if the prick deserves a beating. Drop a joke, buy a drink, get over it.",NULL,208,210,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (209, ""Hug the shit"", ""They're family and as much as they are a pain in the ass the families that can work together are way more functional so put in the effort to make it work....even if the prick deserves a beating. Drop a joke, buy a drink, get over it."", ""NULL"", ""208"", ""210"")",,,,,
43,210,Toxic people,"Sometimes people are just too crazy, immature or are straight up wankers to move forwards with. The thing to do here is to limit your exposure to them. For family this can be hard but consciously pull back as much as you can and avoid time/activities with them. Never shut the door though - people can change and everyone is learning including you remember.",NULL,209,211,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (210, ""Toxic people"", ""Sometimes people are just too crazy, immature or are straight up wankers to move forwards with. The thing to do here is to limit your exposure to them. For family this can be hard but consciously pull back as much as you can and avoid time/activities with them. Never shut the door though - people can change and everyone is learning including you remember."", ""NULL"", ""209"", ""211"")",,,,,
44,211,Calmed your tits?,Look anger can be horrible but it can be a really great motivator too if harnessed. Use this situation to recognise what needs to change and the anger as fuel to get you off your (ever expanding) ass and make it happen. Go make a change!,smile.png,210,1,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (211, ""Calmed your tits?"", ""Look anger can be horrible but it can be a really great motivator too if harnessed. Use this situation to recognise what needs to change and the anger as fuel to get you off your (ever expanding) ass and make it happen. Go make a change!"", ""smile.png"", ""210"", ""1"")",,,,,
45,220,Friends am i right?,Humans are pack animals and your friends are largely your pack. You need them like you need a bath. They can be your greatest source of happiness and drive you crazy too!,friends.png,NULL,221,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (220, ""Friends am i right?"", ""Humans are pack animals and your friends are largely your pack. You need them like you need a bath. They can be your greatest source of happiness and drive you crazy too!"", ""friends.png"", ""NULL"", ""221"")",,,,,
46,221,Steam outlet!,"If you're really angry first off you need to release that pressure. If you have a healthy outlet (not beating up strangers in parking lots) then use it otherwise think of the following options: meditation, hard exercise, the far more realistic for you easy exercise or talking to someone. Do not use this as an excuse to backslide into distructive behaviour.",NULL,220,222,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (221, ""Steam outlet!"", ""If you're really angry first off you need to release that pressure. If you have a healthy outlet (not beating up strangers in parking lots) then use it otherwise think of the following options: meditation, hard exercise, the far more realistic for you easy exercise or talking to someone. Do not use this as an excuse to backslide into distructive behaviour."", ""NULL"", ""220"", ""222"")",,,,,
47,222,Analyse you,"Why are you angry? I know there is a surface thing but why did it effect you, hurt you. You are responsible for your emotions, nobody else so examine what broke your control - it's your issue and choice to be angry ultimately. Also are there any chemical imbalances? Missing coffee, sleep, exercise, intimacy? Be honest about the cause here.",NULL,221,223,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (222, ""Analyse you"", ""Why are you angry? I know there is a surface thing but why did it effect you, hurt you. You are responsible for your emotions, nobody else so examine what broke your control - it's your issue and choice to be angry ultimately. Also are there any chemical imbalances? Missing coffee, sleep, exercise, intimacy? Be honest about the cause here."", ""NULL"", ""221"", ""223"")",,,,,
48,223,Analyse them,Why did they act this way? Were they displacing another action (maybe from you?). Any other mitigating factors eg. she's PMSing like crazy. Do you think they can compromise? Do they have the maturity to do so?,NULL,222,224,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (223, ""Analyse them"", ""Why did they act this way? Were they displacing another action (maybe from you?). Any other mitigating factors eg. she's PMSing like crazy. Do you think they can compromise? Do they have the maturity to do so?"", ""NULL"", ""222"", ""224"")",,,,,
49,224,What do you want?,"Seriously what is your best case scenario here? Write it down - it's easy to forget when angry and you just want to crush the other person or win an argument. Be practical, realistic and recognise you'll probably have to compromise.",NULL,223,225,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (224, ""What do you want?"", ""Seriously what is your best case scenario here? Write it down - it's easy to forget when angry and you just want to crush the other person or win an argument. Be practical, realistic and recognise you'll probably have to compromise."", ""NULL"", ""223"", ""225"")",,,,,
50,225,Consider the pack,"Is what they're doing or saying truly risking your pack status? If so draw battle lines. Talk to your other friends as soon as possible, explain your side without lying or bitchiness and try to preempt them doing the same thing.",NULL,224,226,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (225, ""Consider the pack"", ""Is what they're doing or saying truly risking your pack status? If so draw battle lines. Talk to your other friends as soon as possible, explain your side without lying or bitchiness and try to preempt them doing the same thing."", ""NULL"", ""224"", ""226"")",,,,,
51,226,Let's talk...urgh,Only consider this if both of you are calm. If not wait till you both are. If you lose your temper when talking even a little you fail here - focus on control. Explain why you're angry (and hurt) and what you'd like to happen. Let that precious bitch moan back at you but stay on target. Bring the conversation back to a resolution and seek that compromise you were looking for. Shake/Apologise as needed.,NULL,225,227,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (226, ""Let's talk...urgh"", ""Only consider this if both of you are calm. If not wait till you both are. If you lose your temper when talking even a little you fail here - focus on control. Explain why you're angry (and hurt) and what you'd like to happen. Let that precious bitch moan back at you but stay on target. Bring the conversation back to a resolution and seek that compromise you were looking for. Shake/Apologise as needed."", ""NULL"", ""225"", ""227"")",,,,,
52,227,Still pissed/butt hurt,For the real grudge holders consider if malice was truly invovled. As a general rule thoughtlessness requires an apology but actual malice requires restitution. Accept that you might not get either depending on the craziness/maturity of the person.,NULL,226,228,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (227, ""Still pissed/butt hurt"", ""For the real grudge holders consider if malice was truly invovled. As a general rule thoughtlessness requires an apology but actual malice requires restitution. Accept that you might not get either depending on the craziness/maturity of the person."", ""NULL"", ""226"", ""228"")",,,,,
53,228,Be discerning!,This is really important: be careful who you pick as your friends! Who you choose will determine your success/failure/happiness etc in life. Hang out with spiders and you're going to catch flies for partners too. Learn that as much fun as it might be to watch Jim get into fights or Jill self destruct in drama each week that these people are toxic and will drag you under eventually. Cut them out of your life - they won't change.,NULL,227,229,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (228, ""Be discerning!"", ""This is really important: be careful who you pick as your friends! Who you choose will determine your success/failure/happiness etc in life. Hang out with spiders and you're going to catch flies for partners too. Learn that as much fun as it might be to watch Jim get into fights or Jill self destruct in drama each week that these people are toxic and will drag you under eventually. Cut them out of your life - they won't change."", ""NULL"", ""227"", ""229"")",,,,,
54,229,Calmed your tits?,"Look anger can be horrible but it can be a really great motivator too if harnessed. Use this situation to recognise what needs to change and the anger as fuel to get you off your (ever expanding) ass and make it happen. Go make a change, even if worst case that means losing a 'friend' or two.",smile.png,228,1,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (229, ""Calmed your tits?"", ""Look anger can be horrible but it can be a really great motivator too if harnessed. Use this situation to recognise what needs to change and the anger as fuel to get you off your (ever expanding) ass and make it happen. Go make a change, even if worst case that means losing a 'friend' or two."", ""smile.png"", ""228"", ""1"")",,,,,
55,230,Work Pricks,"This is really complicated. The perking order and pack status can be hard to read. Be cautious here - always be unemotional, professional and act like someone is constantly watching your actions - they are!",work.png,NULL,231,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (230, ""Work Pricks"", ""This is really complicated. The perking order and pack status can be hard to read. Be cautious here - always be unemotional, professional and act like someone is constantly watching your actions - they are!"", ""work.png"", ""NULL"", ""231"")",,,,,
56,231,Steam outlet!,"If you're really angry first off you need to release that pressure. If you have a healthy outlet then use it otherwise think of the following options: meditation, hard exercise, the far more realistic for you easy exercise or talking to someone - definitely not someone from work unless you want it to get around (it absolutely will). Do not use this as an excuse to backslide into destructive behaviour.",NULL,230,232,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (231, ""Steam outlet!"", ""If you're really angry first off you need to release that pressure. If you have a healthy outlet then use it otherwise think of the following options: meditation, hard exercise, the far more realistic for you easy exercise or talking to someone - definitely not someone from work unless you want it to get around (it absolutely will). Do not use this as an excuse to backslide into destructive behaviour."", ""NULL"", ""230"", ""232"")",,,,,
57,232,Analyse you,"Why are you angry? I know there is a surface thing but why did it effect you, hurt you. You are responsible for your emotions, nobody else so examine what broke your control - it's your issue and choice to be angry ultimately. Also are there any chemical imbalances? Missing coffee, sleep, exercise, intimacy? Be honest about the cause here.",NULL,231,233,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (232, ""Analyse you"", ""Why are you angry? I know there is a surface thing but why did it effect you, hurt you. You are responsible for your emotions, nobody else so examine what broke your control - it's your issue and choice to be angry ultimately. Also are there any chemical imbalances? Missing coffee, sleep, exercise, intimacy? Be honest about the cause here."", ""NULL"", ""231"", ""233"")",,,,,
58,233,Analyse them,Why did they act this way? Were they displacing another action (maybe from you?). Any other mitigating factors eg she's PMSing like crazy? Do you think they can compromise? Do they have the maturity to do so? Is this part of a work plot to keep you in your role or move you?,NULL,232,234,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (233, ""Analyse them"", ""Why did they act this way? Were they displacing another action (maybe from you?). Any other mitigating factors eg she's PMSing like crazy? Do you think they can compromise? Do they have the maturity to do so? Is this part of a work plot to keep you in your role or move you?"", ""NULL"", ""232"", ""234"")",,,,,
